video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
kzwfHumJyYc,17.14.11,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,Lokdhun Punjabi,CID25,2017-11-12T12:20:39.000Z,"sharry mann|""sharry mann new song""|""sharry mann cute munda""|""sharry mann latest song""|""sharry mann punjabi song 2017""|""parmish verma""|""parmish verma new song""|""parmish verma sharry mann""|""parmish verma sharry mann new song""|""parmish verma cute munda""|""new punjabi song 2017""|""punjabi song 2017""|""parmish verma new song 2017""|""parmish verma latest song 2017""|""punjabi songs 2017""",1096327,33966,798,882,https://i.ytimg.com/vi/kzwfHumJyYc/default.jpg,FALSE,FALSE,FALSE,"Presenting Sharry Mann latest Punjabi Song  Cute Munda Teaser . The music of new punjabi song is given by Gift Rulers while lyrics are penned by Zaildar Pargat Singh. The video is directed by Parmish Verma. \nEnjoy and stay connected with us!! \n\nSong : Cute Munda\nSinger : Sharry Mann\nStarring : Sharry Mann, Rumman & Parmish Verma\nMusic : Gift Rulers\nLyrics : Zaildar Pargat Singh\nConcept, Screenplay & Direction : Parmish Verma\nOnline Promotions : Gold Media\nCopyright: Lokdhun\n\nFull Song Releasing on 17th November\n\n\nFor more new Punjabi songs, latest Punjabi videos, funny Punjabi comedy scenes and new Punjabi movies, subscribe our channel - http://goo.gl/NnoXVB\n\n\nLike us on Facebook - https://www.facebook.com/LokdhunPunjabiOfficial/\nFollow us on Twitter - https://twitter.com/lokdhunpunjabi\nFollow us on Instagram - https://www.instagram.com/lokdhunpunjabi\nVisit us on https://www.lokdhun.com"
zUZ1z7FwLc8,17.14.11,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे",HJ NEWS,CID25,2017-11-13T05:43:56.000Z,"पीरियड्स के समय|""पेट पर पति करता ऐसा""|""देखकर दंग रह जायेंगे""|""latest news""|""today news""|""news""|""breaking news""|""current news""|""world news""|""hj news updates""|""bollywood updates""|""news channel in hindi""|""entertainment news""|""merrage""|""love""|""break up""|""perideus time""|""pragenent girl""|""baby born""",590101,735,904,0,https://i.ytimg.com/vi/zUZ1z7FwLc8/default.jpg,TRUE,FALSE,FALSE,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे \n\nWatch this video :- https://youtu.be/zUZ1z7FwLc8\n\nHere is the secret of the death of PCS wife Namrata on February 16, 2017, still persisted after 9 months. In the case, the relatives of the deceased had accused the in-laws of torture against dowry, after which the police sent the accused husband and mother-in-law and sent them to jail.\n\nThe mother of the deceased Kiran said, Humility was my little daughter, she was preparing to become an IAS. Then there was a relation of dedication from a matrimonial website. We were watching the relationship for our eldest daughter, I liked the humility. \n- We did not want that little sister's marriage to be a big one before, but humility itself was refusing marriage, but Mother of Divine took it to the center. Dipartan was PCS, so we also agreed for marriage. . ''\nDeepa's mother Anuradha had said that humility could continue her studies even after marriage. On this condition she was ready for marriage, both of them were married on June 10, 2015.\n- Cajun Sister Chitra said, The sister was emotionally attached to the lamp, there were many things that she used to share with me, but Deep used to torture her for dowry.\n- During the periods, the lamp beat him on the stomach and back. Sister came home and asked me to massage the stomach and back. She used to tell that Deep struck a lot, massage it. \n- I had advised sister to take the Divorce, but she did not want to break the relationship.\n\nSubscribe Us for Latest News & Updates ► https://goo.gl/K8pjDQ\n\nStay Connected with Us :\n\nFollow Us On Facebook ► https://goo.gl/GEkOqP\n\nFollow Us On Twitter ►  https://twitter.com/hjnews4u\n\nFollow Us On Google plus ►  https://goo.gl/LZglUF\n\nHJ NEWS !!\n\nHJ NEWS outbreaks the conventional news reading and brings to you the real face of every information at one click! Latest news from India and the world, politics and nation, entertainment, sports and science. Witness the panoramic vision of the state on every aspect you can think of! \nIt is easy for every person to watch the news in form of video rather than reading every sentance..\n\nSo, Friends Please Watch , Like , Share & Subscribe HJ NEWS"
10L1hZ9qa58,17.14.11,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,TFPC,CID24,2017-11-12T15:48:08.000Z,"Stylish Star Allu Arjun @ ChaySam Wedding Reception|""Stylish Star Allu Arjun""|""ChaySam Wedding Reception""|""nagachaitanya""|""samantha""|""chaysam""|""chay sam""|""naga chaitanya and samantha wedding reception""|""wedding reception""|""nagarjuna""|""akkineni wedding reception""|""tfpc""|""telugu cinema""|""celebrities @ chaysam wedding reception""",473988,2011,243,149,https://i.ytimg.com/vi/10L1hZ9qa58/default.jpg,FALSE,FALSE,FALSE,"Watch Stylish Star Allu Arjun @ ChaySam Wedding Reception \n\n☛ For latest news https://www.tfpc.in,  https://goo.gl/pQjhVq\n☛ Follow Us on https://twitter.com/tfpcin\n☛ Like Us on https://www.facebook.com/tfpcin\n☛ Follow us on https://instagram.com/tfpcin/\n\n► Latest Telugu Cinema Celebrities Interview https://goo.gl/08Kpy2 \n\n► Latest Comedy Scenes https://goo.gl/SNtjdj\n\n► Latest Telugu Cinema Making Videos https://goo.gl/42X3cD\n\n► Latest Trailer  https://goo.gl/ugX9oT"
N1vE8iiEg64,17.14.11,Eruma Saani | Tamil vs English,Eruma Saani,CID23,2017-11-12T07:08:48.000Z,"Eruma Saani|""Tamil Comedy Videos""|""Films""|""Movies""|""Harija""|""Short""|""Film""|""Eruma Sani""|""Eruma Saani Videos""|""Eruma Saani Short Film""|""Eruma Saani Comedy""|""Eruma Saani Harija""|""Eruma Saani Tamil vs English""|""Tamil vs English""|""Tamil""|""English""|""Hindi""|""TTV Dinakaran""|""Sasikala""|""Sasikala income tax raid""",1242680,70353,1624,2684,https://i.ytimg.com/vi/N1vE8iiEg64/default.jpg,FALSE,FALSE,FALSE,This video showcases the difference between people who speak in English and Tamil in a very funny way.\nSubscribe to our YouTube Channel\nCatch our updates on our social media pages:\nwww.fb.com/ErumaShit\nwww.twitter.com/Eruma_Saani\nwww.instagram.com/ErumaSaani
kJzGH0PVQHQ,17.14.11,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,Filmylooks,CID24,2017-11-13T01:14:16.000Z,"Filmylooks|""latest news""|""telugu movies""|""telugu news""|""Tollywood news""|""why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception""|""why Samantha became EMOTIONAL""|""samantha emotional moment""|""ChaySam Wedding Reception video""|""Naga Chaitanya and Samantha Wedding Reception LIVE""|""samantha ruth prabhu""",464015,492,293,66,https://i.ytimg.com/vi/kJzGH0PVQHQ/default.jpg,FALSE,FALSE,FALSE,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks #samantha #Nagachaithanya \n\nFilmy Looks is the celebrated hub of our Tollywood Industry. Its All about Movies. Get latest videos on your favourite Tollywood celebrities and catch them on all the events around you. \n\nSubscribe and stay connected to view Updates on TELUGU CINEMA......\n\nEnjoy & Have Fun!\n#Filmylooks\n\nSubscribe Filmylookslive on youtube  :  https://goo.gl/AUM3Ue\nLike Filmylooks on fb  : fb.com/filmylooks\nFollow Filmylooks on twitter  : twitter.com/filmylooks\nFollow Filmylooks on Google + : https://goo.gl/bgnTgy\n\nWatch Latest Telugu Trailers Here : https://www.youtube.com/watch?v=C6W53j8ijZo&list=PLrl_iHW-uUsl5jnQg-KbcTtc9YXDbXWCk
il_pSa5l98w,17.14.11,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",Dil Raju,CID24,2017-11-10T04:29:50.000Z,"Nenu Local|""Nenu Local Telugu Movie""|""Nani""|""Sai Pallavi""|""Dil Raju""|""Devi Sri Prasad""|""Telugu Latest Movies""|""Telugu Full Movies""|""Telugu Comedy Movies""|""Nani Trailer""|""Nani Movies""|""MCA MOVIE""|""Middle Class Abbayi""|""MCA""|""MCA - Middle class abbayi""|""Fidaa""|""Nani MCA""|""MCA Trailer""|""MCA Teaser""|""MCA First Look""|""Nani MCA Teaser""|""Nani MCA Trailer""",6106669,98612,4185,4763,https://i.ytimg.com/vi/il_pSa5l98w/default.jpg,FALSE,FALSE,FALSE,"Watch MCA- Middle Class Abbayi First Look Teaser starring Nani, Sai Pallav Produced by Dil Raju, Shirish, Laxman & Directed by Sriram Venu.\n\n \nFilm Name : MCA - Middle Class Abbayi\nCast: Nani, Sai Pallavi, Bhumika\nBanner : Sri Venkateswara Creations\nProducer : Raju, Shirish, Laxman\nDirector : Sriram Venu\nMusic Director : Devi Sri Prasad\nDOP : Sameer Reddy\nEditor : Prawin Pudi\nArt : Ramanjaneyulu\nDigital Media : Nani\nPRO : Vamsi Kaka"
7MxiQ4v0EnE,17.14.11,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,Speed Records,CID10,2017-11-11T16:41:15.000Z,"punjabi songs|""punjabi bhangra""|""punjabi music""|""punjabi bhangra music""|""punjabi latest songs""|""punjabi romantic songs""|""punjabi sad songs""|""punjabi""|""bhangra""|""latest punjabi songs 2017""|""punjab""|""desi""|""speed records""|""mankirt new song""|""daang""|""sukh sanghera""|""deep kahlon""|""mankirt aulakh""",5718766,127477,7134,8063,https://i.ytimg.com/vi/7MxiQ4v0EnE/default.jpg,FALSE,FALSE,FALSE,Song - Daang\nSinger - Mankirt Aulakh\nFacebook - https://www.facebook.com/mankirtaulakh\nInstagram - https://www.instagram.com/mankirtaulakh\nSnapchat - Mankirtaulakh\nMusic - MixSingh \nLyrics - Deep Kahlon\nSpecial Thanks - Sanjeev Sharma\nProject By - Gurpreet Khetla\nVideo - Sukh Sanghera\nOnline Promotion - Gold Media\nLabel - Speed Records \n\nItunes - http://abc.digital/dng1\nApple Music - http://abc.digital/dng2\nHungam - http://bit.ly/2jmDowU\nSaavn - http://bit.ly/2zF50S5\nGaana - http://bit.ly/2AyGxNF\n\nLike || Share || Spread || Love \n  \nEnjoy & stay connected with us!\n► Subscribe to Speed Records : http://bit.ly/SpeedRecords\n► Like us on Facebook: https://www.facebook.com/SpeedRecords\n► Follow us on Twitter: https://twitter.com/Speed_Records\n► Follow us on Instagram: https://instagram.com/Speed_Records\n► Follow on Snapchat : https://www.snapchat.com/add/speedrecords\n  \nVirasat Facebook Link - https://m.facebook.com/Virasat-152196...\nOops TV Facebook Link - https://m.facebook.com/oopstvfun/\n\nFoodies -\nInstagram - http://instagram.com/speedfoodies\nFacebook - http://bit.ly/2yvcBB9\nSnapchat - https://www.snapchat.com/add/officialfoodies\n\nPoon Poon - \nSnapchat- https://www.snapchat.com/add/poonpoon0001\nYoutube-  youtube.com/channel/UC82dRFIxmjA293G7tYunPWQ\nFacebook - https://www.facebook.com/officialpoonpoon\nInstagram - https://instagram.com/poonpoonofficial
c64I9HNpiOY,17.14.11,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,CID10,2017-11-11T06:14:19.000Z,"Ek Dil Ek Jaan Video Song|""'Ek Dil Ek Jaan'""|""Ek Dil Ek Jaan Video""|""Padmavati""|""Padmavati songs""|""Padmavati movie song""|""deepika padukone""|""ranveer singh""|""ghoomar""|""padmavati song""|""Deepika Padukone""|""Shahid Kapoor""|""Sanjay Leela Bhansali""|""Padmavati Deepika Padukone""|""Ghoomar""|""Ghoomar Deepika Padukone""|""Padmavati Songs""|""new hindi songs""|""hindi songs""|""shahid kapoor""|""sanjay leela bhansali""|""indian songs""|""padmavati songs""|""love song""|""love song 2017""|""do dil ek jaan""",10588371,132738,8812,10847,https://i.ytimg.com/vi/c64I9HNpiOY/default.jpg,FALSE,FALSE,FALSE,"Presenting the song 'Ek Dil Ek Jaan' from Padmavati in the voice of Shivam Pathak, Music by Sanjay Leela Bhansali and Lyrics by A M Turaz.  \n\nPadmavati starring Ranveer Singh, Deepika Padukone, Shahid Kapoor, Aditi Rao Hydari and Jim Sarbh. Directed by Sanjay Leela Bhansali and Produced by Viacom18 Motion Pictures and Bhansali Productions, is slated to release on 1st December 2017.\n\n♪ Available on ♪\niTunes : http://bit.ly/Ek-Dil-Ek-Jaan-iTunes\nHungama : http://bit.ly/Ek-Dil-Ek-Jaan-Hungama\nSaavn : http://bit.ly/Ek-Dil-Ek-Jaan-Saavn\nGaana : http://bit.ly/Ek-Dil-Ek-Jaan-Gaana\nApple Music : http://bit.ly/Ek-Dil-Ek-Jaan-Apple-Music\nGoogle Play : http://bit.ly/Ek-Dil-Ek-Jaan-Google-Play\n\nSong Credits :\n♪Song: Ek Dil Ek Jaan\n♪Singer: Shivam Pathak\n♪Music: Sanjay Leela Bhansali\n♪Lyrics:  A M Turaz\n♪Music Label: T-Series\n♪Song Produced: Sanchit Balhara,\n♪Qawwali Singers: Mujtaba Aziz Naza, Kunal Pandit, Farhan Sabri\n♪Songs Recorded, Mixed & Mastered: Tanay Gajjar at Flutter Studio.\n♪Assisted: Rupak Thakur\n___\nEnjoy & stay connected with us!\n► Subscribe to T-Series: http://bit.ly/TSeriesYouTube\n► Like us on Facebook: https://www.facebook.com/tseriesmusic\n► Follow us on Twitter: https://twitter.com/tseries\n► Follow us on Instagram: http://bit.ly/InstagramTseries"
KObFEYCaRx8,17.14.11,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",Top Telugu Media,CID24,2017-11-13T04:42:26.000Z,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya|""Samantha Akkineni""|""Nag""|""Venkatesh""|""Megastar Chiranjeevi""|""Megastar Chiranjeevi @ #ChaySam Wedding Reception""|""Chiranjeevi @ #ChaySam Wedding Reception""|""Naga Chaitanya - Samantha Akkineni Reception LIVE""|""Naga Chaitanya""|""Samantha""|""Naga Chaitanya Samantha""|""Nagarjuna""|""#ChaiSam""|""Reception LIVE""|""Akkineni Reception""|""chiranjeevi rama charan""|""naga chaitanya samantha wedding reception""|""Akkineni family""|""Daggubati family""|""reception""",118223,520,53,23,https://i.ytimg.com/vi/KObFEYCaRx8/default.jpg,FALSE,FALSE,FALSE,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh\n\nAll you need to do is hit the subscribe button and stay tuned to our Non-stop \nFun/Entertainment Youtube channel.\nFollow With Additional Information Subscribe us : https://www.youtube.com/channel/UC1rYf86znQKQXzc059txcTg/featured\nAnd Follow Us At :\nFacebook : https://www.facebook.com/toptelugumedia\nTwitter : https://www.twitter.com/toptelugumedia\nGoogle+ : https://plus.google.com/u/0/+TopTeluguMedia"
g8QsfJhFpjY,17.14.11,New bike vs Old bike - the reality,Jump Cuts,CID24,2017-11-12T04:30:01.000Z,"Jump cuts|""Jumpcuts""|""Tamil comedy""|""Tamil Comedy Videos""|""new bike vs old bike""|""jumpcuts reality""|""the reality""|""bike scenario jumpcuts""|""jumpcuts bike story""|""hari baskar videos""|""hari baskar jumpcuts""|""hari baskar bike video""|""tamil viral videos""|""viral videos""|""trending videos""|""jumpcuts trending videos""|""swathi videos""|""kaghs""|""jumpcuts old vs new""|""jumpcuts tamil comedy""|""jumpcuts youtube channel""|""hot story jumpcuts""|""hot scenario""",969030,59798,1545,2404,https://i.ytimg.com/vi/g8QsfJhFpjY/default.jpg,FALSE,FALSE,FALSE,"Jump Cuts is a Tamil entertaining group by Hari and Naresh. We love telling our stories that we have came across in our life, friends, neighborhood and bring it to you in our own way through the jump cut editing ✂️\n\nSpecial effects and Edit - Jegan Chakkravarthy\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFollow us on Facebook : https://www.facebook.com/jumpcutz/\n\nFollow us on Instagram : jump_cuts\n\nFollow us on Twitter : @jumpcuts7\n\nThank you keep supporting\nJ U M P C U T S"
4du1KXBl4YU,17.14.11,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,TellyMasala,CID24,2017-11-12T17:30:00.000Z,"Hina khan|""Hina khan bigg boss""|""Bigg boss 11""|""Big boss""|""Bigg boss""|""Bigg boss 11 eviction""|""Bb 11""|""Bigg boss season 11""|""Bigg boss 11 full episode""|""Tellymasala""|""Telly masala""|""Telly masala latest interview""|""Telly masala bigg boss""|""Mehjabi""|""siddiqui""|""mahjabi siddiqui interview""|""mehjabi reveals""|""hina khan bigg boss 11""|""bigg boss 11""|""telly masala""|""tellymasala bigg boss""|""telly masala latest interview""|""bigg boss full episode""",632747,4330,2183,2869,https://i.ytimg.com/vi/4du1KXBl4YU/default.jpg,FALSE,FALSE,FALSE,Mehjabi Siddiqui reveals Hina Khan Dirty Politics in Bigg Boss 11 house exclusively on TellyMasala.
